"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Oct 27 21:18:54 GMT 2025","Mon Oct 27 21:19:05 GMT 2025","10794","Surefire suite","Surefire test","com.example.tests.segundaSemana.ValidatePriceTest","com.example.tests.segundaSemana.ValidatePriceTest","shouldValidatePriceWithAllItems","shouldValidatePriceWithAllItems",""
"passed","Mon Oct 27 21:19:49 GMT 2025","Mon Oct 27 21:19:49 GMT 2025","494","Surefire suite","Surefire test","com.example.tests.primerSemana.LoginTest","com.example.tests.primerSemana.LoginTest","shouldDisplayHomePageWithValidCredentials","shouldDisplayHomePageWithValidCredentials",""
"broken","Mon Oct 27 21:19:30 GMT 2025","Mon Oct 27 21:19:31 GMT 2025","1094","Surefire suite","Surefire test","com.example.tests.demoQa.ChooseoptionTest","com.example.tests.demoQa.ChooseoptionTest","chooseOptionMenuWithParameter","chooseOptionMenuWithParameter",""
"broken","Mon Oct 27 21:19:49 GMT 2025","Mon Oct 27 21:19:49 GMT 2025","0","Surefire suite","Surefire test","com.example.tests.primerSemana.LoginTest","com.example.tests.primerSemana.LoginTest","shouldDisplayProperErrorMessageForInvalidLoginScenarios","shouldDisplayProperErrorMessageForInvalidLoginScenarios",""
"passed","Mon Oct 27 21:19:36 GMT 2025","Mon Oct 27 21:19:37 GMT 2025","1230","Surefire suite","Surefire test","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","selectAlertPopUp","selectAlertPopUp",""
"passed","Mon Oct 27 21:19:33 GMT 2025","Mon Oct 27 21:19:34 GMT 2025","1276","Surefire suite","Surefire test","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","selectAlertPopUp","selectAlertPopUp",""
"broken","Mon Oct 27 21:19:37 GMT 2025","Mon Oct 27 21:19:48 GMT 2025","10937","Surefire suite","Surefire test","com.example.tests.primerSprintTest.alertasFrames.LoginTest","com.example.tests.primerSprintTest.alertasFrames.LoginTest","loginConCredencialesInvalidas_muestraError","loginConCredencialesInvalidas_muestraError",""
"passed","Mon Oct 27 21:19:34 GMT 2025","Mon Oct 27 21:19:36 GMT 2025","1261","Surefire suite","Surefire test","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","selectAlertPopUp","selectAlertPopUp",""
"passed","Mon Oct 27 21:18:52 GMT 2025","Mon Oct 27 21:18:53 GMT 2025","1047","Surefire suite","Surefire test","com.example.tests.TableTest","com.example.tests.TableTest","testTableComponent","testTableComponent",""
"passed","Mon Oct 27 21:18:52 GMT 2025","Mon Oct 27 21:18:52 GMT 2025","498","Surefire suite","Surefire test","com.example.tests.sauceDemo.LoginSauceTest","com.example.tests.sauceDemo.LoginSauceTest","usersLoginWithValidCredentials","usersLoginWithValidCredentials",""
"failed","Mon Oct 27 21:19:16 GMT 2025","Mon Oct 27 21:19:27 GMT 2025","10810","Surefire suite","Surefire test","com.example.tests.segundaSemana.ShoppingTest","com.example.tests.segundaSemana.ShoppingTest","shouldBuyProductsSuccessfully","Agregar productos al carrito, verificar que esten y completar checkout",""
"passed","Mon Oct 27 21:18:30 GMT 2025","Mon Oct 27 21:18:51 GMT 2025","20957","Surefire suite","Surefire test","com.example.tests.sauceDemo.OrderWithTextTest","com.example.tests.sauceDemo.OrderWithTextTest","addToCartItemsWithTitleOnShop","addToCartItemsWithTitleOnShop",""
"failed","Mon Oct 27 21:19:05 GMT 2025","Mon Oct 27 21:19:16 GMT 2025","10804","Surefire suite","Surefire test","com.example.tests.segundaSemana.ShoppingTest","com.example.tests.segundaSemana.ShoppingTest","shouldAddProductsWithTextToCart","Agregar productos al carrito mediante lista y verificar que esten",""
"passed","Mon Oct 27 21:19:31 GMT 2025","Mon Oct 27 21:19:32 GMT 2025","1442","Surefire suite","Surefire test","com.example.tests.primerSprintTest.localizadores.LocalizadoresTest","com.example.tests.primerSprintTest.localizadores.LocalizadoresTest","localizador","localizador",""
