"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 28 19:19:16 GMT 2025","Tue Oct 28 19:19:17 GMT 2025","483","Surefire suite","Surefire test","com.example.tests.primerSemana.LoginTest","com.example.tests.primerSemana.LoginTest","shouldDisplayHomePageWithValidCredentials","shouldDisplayHomePageWithValidCredentials",""
"broken","Tue Oct 28 19:18:00 GMT 2025","Tue Oct 28 19:18:10 GMT 2025","10860","Surefire suite","Surefire test","com.example.tests.segundaSemana.ValidatePriceTest","com.example.tests.segundaSemana.ValidatePriceTest","shouldValidatePriceWithAllItems","shouldValidatePriceWithAllItems",""
"passed","Tue Oct 28 19:17:37 GMT 2025","Tue Oct 28 19:17:58 GMT 2025","21016","Surefire suite","Surefire test","com.example.tests.sauceDemo.OrderWithTextTest","com.example.tests.sauceDemo.OrderWithTextTest","addToCartItemsWithTitleOnShop","addToCartItemsWithTitleOnShop",""
"failed","Tue Oct 28 19:18:22 GMT 2025","Tue Oct 28 19:18:33 GMT 2025","10801","Surefire suite","Surefire test","com.example.tests.segundaSemana.ShoppingTest","com.example.tests.segundaSemana.ShoppingTest","shouldBuyProductsSuccessfully","Agregar productos al carrito, verificar que esten y completar checkout",""
"broken","Tue Oct 28 19:19:17 GMT 2025","Tue Oct 28 19:19:17 GMT 2025","1","Surefire suite","Surefire test","com.example.tests.primerSemana.LoginTest","com.example.tests.primerSemana.LoginTest","shouldDisplayProperErrorMessageForInvalidLoginScenarios","shouldDisplayProperErrorMessageForInvalidLoginScenarios",""
"passed","Tue Oct 28 19:19:04 GMT 2025","Tue Oct 28 19:19:05 GMT 2025","398","Surefire suite","Surefire test","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","selectAlertPopUp","selectAlertPopUp",""
"broken","Tue Oct 28 19:19:06 GMT 2025","Tue Oct 28 19:19:16 GMT 2025","10185","Surefire suite","Surefire test","com.example.tests.primerSprintTest.alertasFrames.LoginTest","com.example.tests.primerSprintTest.alertasFrames.LoginTest","loginConCredencialesInvalidas_muestraError","loginConCredencialesInvalidas_muestraError",""
"passed","Tue Oct 28 19:17:58 GMT 2025","Tue Oct 28 19:17:59 GMT 2025","505","Surefire suite","Surefire test","com.example.tests.sauceDemo.LoginSauceTest","com.example.tests.sauceDemo.LoginSauceTest","usersLoginWithValidCredentials","usersLoginWithValidCredentials",""
"broken","Tue Oct 28 19:19:01 GMT 2025","Tue Oct 28 19:19:03 GMT 2025","1178","Surefire suite","Surefire test","com.example.tests.demoQa.ChooseoptionTest","com.example.tests.demoQa.ChooseoptionTest","chooseOptionMenuWithParameter","chooseOptionMenuWithParameter",""
"failed","Tue Oct 28 19:18:11 GMT 2025","Tue Oct 28 19:18:22 GMT 2025","10824","Surefire suite","Surefire test","com.example.tests.segundaSemana.ShoppingTest","com.example.tests.segundaSemana.ShoppingTest","shouldAddProductsWithTextToCart","Agregar productos al carrito mediante lista y verificar que esten",""
"passed","Tue Oct 28 19:17:59 GMT 2025","Tue Oct 28 19:17:59 GMT 2025","273","Surefire suite","Surefire test","com.example.tests.TableTest","com.example.tests.TableTest","testTableComponent","testTableComponent",""
"passed","Tue Oct 28 19:19:03 GMT 2025","Tue Oct 28 19:19:03 GMT 2025","447","Surefire suite","Surefire test","com.example.tests.primerSprintTest.localizadores.LocalizadoresTest","com.example.tests.primerSprintTest.localizadores.LocalizadoresTest","localizador","localizador",""
"passed","Tue Oct 28 19:19:04 GMT 2025","Tue Oct 28 19:19:04 GMT 2025","402","Surefire suite","Surefire test","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","selectAlertPopUp","selectAlertPopUp",""
"passed","Tue Oct 28 19:19:05 GMT 2025","Tue Oct 28 19:19:06 GMT 2025","383","Surefire suite","Surefire test","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","com.example.tests.primerSprintTest.alertasFrames.AlertFrameTest","selectAlertPopUp","selectAlertPopUp",""
